"Province","Men.Population","Women.Population","Family.Population","Farmer.Perc","Perc.Poverty","P1.index","P2.Index","Poverty.Line","Total.Poverty"
" Riau",623376,632924,318516,52.8901960784314,8.54857142857143,1.50142857142857,0.438571428571429,305733.285714286,138200
"Bali",1633360,1638223,795735,65.4778887303852,6.27555555555556,0.887777777777778,0.201111111111111,248906.666666667,221500
"Bangka Belitung",521314,505649,256633,49.0031152647975,7.68857142857143,1.09714285714286,0.252857142857143,315409,92300
"Banten",4457964,4387992,2100661,58.225371120108,6.88375,0.9925,0.25,232715,751100
"Bengkulu",817027,803028,394508,83.3194444444444,16.047,2.696,0.666,251773.1,281400
"DI Yogyakarta",1684043,1723387,843853,68.8013698630137,16.348,2.48,0.616,242506.4,540500
"DKI Jakarta",3865581,3618992,1731503,3.17977528089888,5.605,0.73,0.195,345440,388600
"Gorontalo",454219,456879,237643,74.1933333333333,16.6883333333333,2.86833333333333,0.761666666666667,210433.5,172500
"Jambi",1367068,1348530,684123,78.8817813765182,8.19818181818182,1.13818181818182,0.279090909090909,245463,260500
"Jawa Barat",18843006,18655680,9814684,57.0757575757576,11.3696153846154,1.795,0.453461538461538,241252.076923077,4716800
"Jawa Tengah",16277532,16525742,8382490,66.8520551144325,15.4631428571429,2.47457142857143,0.636,221192.514285714,5218400
"Jawa Timur",17636941,18284414,9694644,66.0746726436239,14.8407894736842,2.35342105263158,0.587894736842105,225824.710526316,5579500
"Kalimantan Barat",2057121,2005433,940189,82.0921568627451,9.30571428571429,1.35428571428571,0.318571428571429,206290.5,400300
"Kalimantan Selatan",1621916,1614087,853861,77.3476263399694,6.05384615384615,0.823076923076923,0.188461538461538,240450.692307692,205400
"Kalimantan Tengah",986260,940509,482884,79.7231680236862,7.51857142857143,1.05857142857143,0.257142857142857,251684.142857143,166000
"Kalimantan Timur",1541867,1390323,749338,73.2105654761905,9.92,1.71571428571429,0.485714285714286,284745.428571429,285600
"Lampung",3669314,3558038,1718901,81.0168872660885,16.3807142857143,2.77214285714286,0.745714285714286,234787.785714286,1351700
"Maluku",396826,409502,174873,86.0945709281961,28.6418181818182,6.30909090909091,2.07454545454545,257078.454545455,389700
"Nanggroe Aceh Darussalam",2027041,2112935,975374,79.6077412868633,20.294347826087,3.50652173913043,0.959565217391304,294849.260869565,898300
"Nusa Tenggara Barat",2067958,2163322,1152459,76.4560975609756,21.855,3.859,1.163,244654.4,972300
"Nusa Tenggara Timur",2119625,2177857,951260,88.7173119065011,23.1747619047619,4.34,1.23714285714286,192912,1021800
"Riau",2382015,2288886,1071212,72.7291807718348,12.1783333333333,2.3075,0.6725,301067.833333333,558100
"Sulawesi Selatan",4137659,4329961,1902591,80.4166159464394,12.2383333333333,1.96291666666667,0.517083333333333,203824.791666667,917400
"Sulawesi Tengah",1204041,1168188,567063,84.0267973856209,17.8827272727273,3.26909090909091,0.931818181818182,227021.545454545,455400
"Sulawesi Tenggara",995696,997858,458917,84.0053412462908,15.9933333333333,2.5325,0.6625,215407.083333333,351400
"Sulawesi Utara",1104111,1079960,575336,74.5137903861308,97.806,1.72133333333333,0.459333333333333,225225.266666667,217800
"Sumatera Barat",2251014,2356735,1066287,62.9012208657048,9.47947368421053,1.50947368421053,0.411578947368421,252758.789473684,458300
"Sumatera Selatan",3469906,3473091,1633648,81.5658747300216,14.4466666666667,2.32266666666667,0.592666666666667,247569.6,1105300
"Sumatera Utara",5630479,5725608,2480890,74.740996948118,14.3366666666667,2.42575757575758,0.680606060606061,244385.151515152,1477900
